tweet_id,retweet,favorites
862722525377298433,3070,15279
862457590147678208,4229,18203
862096992088072192,19889,66025
861383897657036800,9223,32155
861288531465048066,3573,15293
861005113778896900,3318,14928
860981674716409858,1847,0
860924035999428608,675,0
860563773140209665,1847,6697
860524505164394496,4581,21177
860276583193509888,3055,16520
860184849394610176,5103,14950
860177593139703809,26591,0
859924526012018688,3570,17555
859851578198683649,3057,13940
859607811541651456,1359,16782
859196978902773760,26158,80255
859074603037188101,11915,30320
858860390427611136,7043,0
858843525470990336,3017,14077
858471635011153920,4238,19406
858107933456039936,2530,14179
857989990357356544,2258,14444
857746408056729600,9308,30690
857393404942143489,1436,5288
857263160327368704,3954,18192
857214891891077121,16,203
857062103051644929,146,0
857029823797047296,3470,16994
856543823941562368,2535,14784
856526610513747968,1650,10792
856288084350160898,15,489
856282028240666624,5562,25151
855862651834028034,21,302
855860136149123072,850,4393
855857698524602368,1853,10829
855851453814013952,16073,41798
855818117272018944,4795,24210
855459453768019968,7278,27013
855245323840757760,5244,0
855138241867124737,36,0
854732716440526848,5322,20614
854482394044301312,5994,26479
854365224396361728,4131,17140
854120357044912130,6569,29131
854010172552949760,2783,14793
853760880890318849,5102,25996
853639147608842240,8829,31425
853299958564483072,3159,14115
852936405516943360,1782,0
852912242202992640,1591,8222
852672615818899456,1902,13600
852553447878664193,3099,14839
852311364735569921,8836,30259
852226086759018497,6069,18296
852189679701164033,1414,10550
851591660324737024,3116,14917
851464819735769094,6288,22212
851224888060895234,5154,18975
850753642995093505,8050,28049
850380195714523136,2324,12037
850333567704068097,301,3183
850145622816686080,3382,15001
850019790995546112,4354,18718
849776966551130114,6793,27838
849668094696017920,4428,0
849412302885593088,2818,14630
849336543269576704,1683,10526
849051919805034497,7598,38889
848690551926992896,3913,23208
848324959059550208,4139,22767
848213670039564288,644,7526
848212111729840128,2711,14994
847978865427394560,2911,0
847971574464610304,394,0
847962785489326080,4559,21683
847842811428974592,1186,4997
847617282490613760,376,6452
847606175596138505,3074,17305
847251039262605312,3904,18915
847157206088847362,5241,18329
847116187444137987,2868,19823
846874817362120707,3539,18566
846514051647705089,10338,41053
846505985330044928,2752,13033
846153765933735936,8144,29002
846139713627017216,9139,28725
846042936437604353,2579,14766
845812042753855489,7838,26937
845677943972139009,4370,23376
845397057150107648,1616,7070
845306882940190720,4842,21552
845098359547420673,6920,0
844979544864018432,2306,12645
844973813909606400,2840,13894
844580511645339650,2805,15250
844223788422217728,1984,12662
843981021012017153,2694,14066
843856843873095681,4158,19892
843604394117681152,2474,15650
843235543001513987,5380,19909
842846295480000512,3310,14180
842765311967449089,1175,6278
842535590457499648,3164,16866
842163532590374912,5244,22672
842115215311396866,2752,12994
841833993020538882,13518,0
841680585030541313,7134,23978
841439858740625411,3301,11691
841320156043304961,5007,18365
841314665196081154,4220,14703
841077006473256960,4876,21285
840761248237133825,1617,0
840728873075638272,14561,0
840698636975636481,2,163
840696689258311684,889,11446
840632337062862849,1617,8401
840370681858686976,4169,15303
840268004936019968,5201,17830
839990271299457024,2063,12501
839549326359670784,7043,25510
839290600511926273,132,0
839239871831150596,5911,25172
838952994649550848,3653,18322
838921590096166913,1851,10392
838916489579200512,31,0
838831947270979586,9992,0
838561493054533637,1229,10217
838476387338051585,4329,20915
838201503651401729,9148,0
838150277551247360,301,1565
838085839343206401,1,134
838083903487373313,2831,16413
837820167694528512,7132,31749
837482249356513284,405,3595
837471256429613056,2058,11954
837110210464448512,2173,15039
836989968035819520,2107,11916
836753516572119041,4250,18070
836677758902222849,2019,11816
836648853927522308,505,0
836397794269200385,24989,0
836380477523124226,2744,13874
836260088725786625,3968,19899
836001077879255040,3877,17848
835685285446955009,7396,0
835574547218894849,3288,16601
835536468978302976,1539,0
835309094223372289,19092,0
835297930240217089,2733,15393
835264098648616962,1539,7206
835246439529840640,63,1987
835172783151792128,5283,24506
835152434251116546,2754,20896
834931633769889797,1486,10072
834786237630337024,5099,20168
834574053763584002,2303,12775
834477809192075265,9737,0
834458053273591808,1543,9010
834209720923721728,4314,19190
834167344700198914,3352,14804
834089966724603904,1960,9425
834086379323871233,2036,12204
833863086058651648,2201,12587
833826103416520705,3481,17036
833732339549220864,203,0
833722901757046785,2989,19628
833479644947025920,1883,13971
833124694597443584,4428,18936
832998151111966721,2006,12393
832769181346996225,38,0
832757312314028032,3312,15817
832682457690300417,2658,11102
832645525019123713,483,2725
